No.,Time,Source,Destination,Protocol,Length,HID Data,Info
2581,14.023208,host,1.37.1,USB,91,40fa0001021f00384c05fa800205ef3000770050a1e4090062b8a1b8476dc0989c616086002660a500256198d664fa0b629809274807b25962b8a1b8476dc098,URB_INTERRUPT out
2582,14.02521,1.37.1,host,USB,27,,URB_INTERRUPT out
2583,14.027128,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2584,14.027159,host,1.37.1,USB,27,,URB_INTERRUPT in
2585,14.027237,host,1.37.1,USB,91,40fa0001022000384c05fa800206209c616086002660a500256198d664fa0b629804273e07aa5962b8a1b8476dc0989c616086002660a500256198d664fa0b62,URB_INTERRUPT out
2586,14.029139,1.37.1,host,USB,27,,URB_INTERRUPT out
2587,14.031125,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2588,14.031159,host,1.37.1,USB,27,,URB_INTERRUPT in
2589,14.031199,host,1.37.1,USB,91,40fa0001022100384c05fa800206519802273207a1e40e0062b8a1b8476dc0989c616086002660a500256198d664fa0b62980e272507a1e40b0062b8a1b8476d,URB_INTERRUPT out
2590,14.033128,1.37.1,host,USB,27,,URB_INTERRUPT out
2591,14.035123,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2592,14.035158,host,1.37.1,USB,27,,URB_INTERRUPT in
2593,14.035216,host,1.37.1,USB,91,40fa0001022200384c05fa80020682c0989c616086002660a500256198d664fa0b62980b271807a1e40d0062b8a1b8476dc0989c616086002660a500256198d6,URB_INTERRUPT out
2594,14.037127,1.37.1,host,USB,27,,URB_INTERRUPT out
2595,14.039123,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2596,14.039157,host,1.37.1,USB,27,,URB_INTERRUPT in
2597,14.039186,host,1.37.1,USB,91,40fa0001022300384c05fa800206b364fa0b62980d271707a0985c61a085a0a100271107a1e40f0062b8a1b8476dc0989c616086002660a500256198d664fa0b,URB_INTERRUPT out
2598,14.04113,1.37.1,host,USB,27,,URB_INTERRUPT out
2599,14.043125,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2600,14.043157,host,1.37.1,USB,27,,URB_INTERRUPT in
2601,14.043509,host,1.37.1,USB,91,40fa0001022400384c05fa800206e462980f27f806ba5962b8a1b8476dc0989c616086002660a500256198d664fa0b62980627f006a1e40a0062b8a1b8476dc0,URB_INTERRUPT out
2602,14.045127,1.37.1,host,USB,27,,URB_INTERRUPT out
2603,14.047123,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2604,14.047158,host,1.37.1,USB,27,,URB_INTERRUPT in
2605,14.047206,host,1.37.1,USB,91,40fa0001022500384c05fa80020715989c616086002660a5002561984e65fa0b62980a27ad06a0985c61c0850127c0a1a185a1a1d706ae5962b8a1b8476dc098,URB_INTERRUPT out
2606,14.049128,1.37.1,host,USB,27,,URB_INTERRUPT out
2607,14.051123,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2608,14.051156,host,1.37.1,USB,27,,URB_INTERRUPT in
2609,14.051223,host,1.37.1,USB,91,40fa0001022600384c05fa800207469c616086002660a5002561984e65fa0b629803279506d4148c136c13ad13553160b42633063760b460a5ca136b13609300,URB_INTERRUPT out
2610,14.05314,1.37.1,host,USB,27,,URB_INTERRUPT out
2611,14.055368,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2612,14.055383,host,1.37.1,USB,27,,URB_INTERRUPT in
2613,14.055818,host,1.37.1,USB,91,40fa0001022700384c05fa80020777850074433b0133e3c4200cffe321fd0033553161a600850074ffe31afde0a6553100850074ffe314fd03330a3061a61033,URB_INTERRUPT out
2614,14.057116,1.37.1,host,USB,27,,URB_INTERRUPT out
2615,14.059118,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2616,14.059146,host,1.37.1,USB,27,,URB_INTERRUPT in
2617,14.059543,host,1.37.1,USB,91,40fa0001022800384c05fa800207a860b47e1260b4ffe3c5fc9414211423ea004050933a129a3a50b34c9140b85493b83a54b35493983a54b35093ba3a50b303,URB_INTERRUPT out
2618,14.061131,1.37.1,host,USB,27,,URB_INTERRUPT out
2619,14.063119,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2620,14.063146,host,1.37.1,USB,27,,URB_INTERRUPT in
2621,14.063217,host,1.37.1,USB,91,40fa0001022900384c05fa800207d96c036c036c60986cb101143c780000d214a9126912263260b526332d1260b500e40120661240a34b12608263e4023060a2,URB_INTERRUPT out
2622,14.065129,1.37.1,host,USB,27,,URB_INTERRUPT out
2623,14.067122,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2624,14.067142,host,1.37.1,USB,27,,URB_INTERRUPT in
2625,14.067201,host,1.37.1,USB,91,40fa0001022a00384c05fa8002080a608263ec100060a20d3360a1609163e4003763ec000360b10033052b62a123ea0007809164c4432060b11c3361dc000181,URB_INTERRUPT out
2626,14.069129,1.37.1,host,USB,27,,URB_INTERRUPT out
2627,14.071124,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2628,14.071138,host,1.37.1,USB,27,,URB_INTERRUPT in
2629,14.071163,host,1.37.1,USB,91,40fa0001022b00384c05fa8002083bd8402084e4003784ec000181dc402061d840208b3b8c3b63ec001061dc4020073361dc0201608263e40130c06c60a21033,URB_INTERRUPT out
2630,14.073132,1.37.1,host,USB,27,,URB_INTERRUPT out
2631,14.075127,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2632,14.07516,host,1.37.1,USB,27,,URB_INTERRUPT in
2633,14.075944,host,1.37.1,USB,91,40fa0001022c00384c05fa8002086c0a3060b56c1160b5ffe362fc92140000d214a4116411263260b52633003160b500e40120611140a34611608263e4023060,URB_INTERRUPT out
2634,14.077114,1.37.1,host,USB,27,,URB_INTERRUPT out
2635,14.079116,1.37.1,host,USB,91,40ed0101ed0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,URB_INTERRUPT in
2636,14.07913,host,1.37.1,USB,27,,URB_INTERRUPT in
